Header_line;17
location;Oslo Norway
year_of_construction;1979
floor_area;8631
number_of_users;400
building_category;Sch
energy_label;B
dhw_heat_source;EB
sh_heat_source;ASHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8138

;Electricity import;Electricity use;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity imported ;Electricity for electric boiler;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElImp;ElBoil;Tout;SolGlob;WindSpd;WindDir;RH
2016-01-05T16:00:00+0100;252400.0;114400.0;-6.710729980468727;0.0088888888888888;3.337416;42.13857;0.7792226
2016-01-05T17:00:00+0100;233200.0;105200.0;-7.012640380859352;0.0;3.1763093;37.811176;0.797443
2016-01-05T18:00:00+0100;232400.0;108400.0;-7.034979248046852;0.0;2.8987465;31.173233;0.8026157
2016-01-05T19:00:00+0100;233200.0;109200.0;-7.170599365234352;0.0;2.4853184;27.426323;0.8055916
2016-01-05T20:00:00+0100;216800.0;114800.0;-7.725073242187477;0.0;1.9548597;17.40272;0.8108255
2016-01-05T21:00:00+0100;176800.0;112800.0;-8.445440673828102;1.5968996958104498e-14;2.3024132;39.23069;0.8151136
2016-01-05T22:00:00+0100;175200.0;113200.0;-7.433508300781227;1.5961098183877217e-14;2.6442893;52.42328;0.8125038
2016-01-05T23:00:00+0100;166400.0;114400.0;-7.550177001953102;1.5972928997983378e-14;1.8788813;21.756863;0.80943704
2016-01-06T00:00:00+0100;170400.0;120400.0;-9.324865722656227;1.5972902013395974e-14;1.2545298;18.987581;0.82213277
2016-01-06T01:00:00+0100;170400.0;120400.0;-8.792486572265602;1.5965068773166674e-14;1.3801641;43.45172;0.82982355
2016-01-06T02:00:00+0100;175600.0;123600.0;-10.473303222656227;1.5965068773166674e-14;1.2375132;36.368683;0.83607966
2016-01-06T03:00:00+0100;174000.0;124000.0;-11.142248535156227;1.5968996958104498e-14;1.0797702;29.736399;0.84201527
2016-01-06T04:00:00+0100;176800.0;124800.0;-11.758978271484352;1.596899310316344e-14;0.83062905;42.15517;0.84888184
2016-01-06T05:00:00+0100;179600.0;125600.0;-12.059210205078102;1.5972928997983378e-14;0.86487466;44.50131;0.85269564
2016-01-06T06:00:00+0100;187600.0;141600.0;-12.235998535156227;1.5957112174823528e-14;0.65184873;52.132736;0.85751754
2016-01-06T07:00:00+0100;236400.0;158400.0;-12.137884521484352;-9.581391235968797e-14;0.63796157;17.782309;0.84248704
2016-01-06T08:00:00+0100;318000.0;220000.0;-12.491003417968727;0.0;0.60328174;27.948198;0.84679157
